,PGM_SYS_ACRNMS,PERMIT_TYPE,PERMID_ID,PRIMARY_NAME,LATITUDE83,LONGITUDE83,HUC_CODE,FRS_FACILITY_DETAIL_REPORT_URL
19035,NPDES:ORR101294,NPDES,ORR101294,"ODOT - REGION 4, CONSTRUCTION STORMWATER",45.6702,-118.7973,17070103,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069607571
19036,NPDES:ORR101569,NPDES,ORR101569,"ODOT - REGION 5, CONSTRUCTION STORMWATER",45.6702,-118.7973,17070103,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069557303
19100,NPDES:ORU000281,NPDES,ORU000281,UNION COUNTY ECONOMIC DEVELOPM,NA,NA,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009155751
19156,NPDES:ORR10E949,NPDES,ORR10E949,DOLLAR GENERAL - LA PINE,43.7117,-121.4736,17070302,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070227327
19244,NPDES:ORR10D615,NPDES,ORR10D615,12820 & 12840 ALTO PARK RD PARTITIONS,45.4322,-122.6997,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069607660
19325,NPDES:ORR10F442,NPDES,ORR10F442,BOONES FERRY ROAD PROJECT - PHASE 1,45.4091,-122.7216,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070266831
19637,NPDES:ORR10F194,NPDES,ORR10F194,LAKE GROVE ROUND TABLE,45.407433,-122.725306,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070229956
19644,NPDES:ORR10F743,NPDES,ORR10F743,LAKE OSWEGO CITY HALL,45.4197,-122.66717,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070628217
19649,NPDES:ORR10F228,NPDES,ORR10F228,LAKE OSWEGO MIDDLE SCHOOL SOFTBALL FIELD REPLACEMENT,45.42484,-122.7019,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070231372
19656,NPDES:ORR10F062,NPDES,ORR10F062,LAKE OSWEGO SPRINGS,45.41688,-122.71488,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070227645
19662,NPDES:ORR10F568,NPDES,ORR10F568,LAKERIDGE HS VARSITY & JV SOFTBALL FIELDS,45.39685,-122.69378,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070527780
19663,NPDES:ORR10F607,NPDES,ORR10F607,LAKERIDGE JUNIOR HIGH REPLACEMENT,45.397,-122.72455,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070529219
19731,NPDES:ORR10F644,NPDES,ORR10F644,MERCANTILE VILLAGE,45.41439,-122.71666,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070625283
19743,NPDES:ORR10F531,NPDES,ORR10F531,MISSION COURT,45.387232,-122.7439,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070505443
19911,NPDES:ORR10D869,NPDES,ORR10D869,STAFFORD,45.39831,-122.68637,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069590419
19993,NPDES:ORR10F208,NPDES,ORR10F208,"WO 233, D AVENUE IMPROVEMENT PROJECT",45.4237,-122.667,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070231152
20028,NPDES:ORR10E368,NPDES,ORR10E368,DUFFIN RESIDENCE,45.41988,-122.69726,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069584550
20036,NPDES:ORR10D858,NPDES,ORR10D858,FIRST CITIZENS BANK - LAKE OSWEGO,45.41222,-122.71753,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069574785
20039,NPDES:ORR10D982,NPDES,ORR10D982,FREEPONS VILLAGE,45.4067,-122.66998,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069598288
20069,NPDES:ORR10E571,NPDES,ORR10E571,LAKE OSWEGO PUBLIC WORKS OPERATIONS FACILITY,45.397041,-122.734694,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069601899
20070,NPDES:ORR10E516,NPDES,ORR10E516,LAKEVIEW BUSINESS PARK,45.397079,-122.73815,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069609445
20075,NPDES:ORR10E059,NPDES,ORR10E059,LO BLOCK 137,45.41945,-122.66489,17090012,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069580518
